Frequency (Hz)	Level (dB)
43.066406	-31.328491
86.132812	-32.002796
129.199219	-32.729954
172.265625	-33.486530
215.332031	-32.792175
258.398438	-34.016651
301.464844	-34.129375
344.531250	-34.001450
387.597656	-33.687733
430.664062	-33.310822
473.730469	-32.894527
516.796875	-32.978783
559.863281	-33.037109
602.929688	-32.843781
645.996094	-32.586330
689.062500	-32.277664
732.128906	-31.764339
775.195312	-31.181036
818.261719	-30.391951
861.328125	-30.282755
904.394531	-29.581127
947.460938	-28.898258
990.527344	-28.310238
1033.593750	-26.142101
1076.660156	-22.276527
1119.726562	-19.372015
1162.792969	-17.860605
1205.859375	-16.191021
1248.925781	-16.121725
1291.992188	-15.391393
1335.058594	-15.371067
1378.125000	-12.510242
1421.191406	-8.472488
1464.257812	-7.224958
1507.324219	-6.441789
1550.390625	-7.225506
1593.457031	-6.682613
1636.523438	-5.996753
1679.589844	-7.750443
1722.656250	-9.665450
1765.722656	-10.687404
1808.789062	-11.198915
1851.855469	-9.680656
1894.921875	-8.261378
1937.988281	-9.156789
1981.054688	-7.802209
2024.121094	-7.234125
2067.187500	-7.777416
2110.253906	-8.502529
2153.320312	-6.951265
2196.386719	-4.627569
2239.453125	-2.330422
2282.519531	0.942746
2325.585938	-2.123180
2368.652344	-6.316052
2411.718750	-10.338800
2454.785156	-14.399817
2497.851562	-17.173380
2540.917969	-19.522030
2583.984375	-21.253954
2627.050781	-22.998493
2670.117188	-24.488701
2713.183594	-25.683361
2756.250000	-26.710295
2799.316406	-27.448818
2842.382812	-27.967720
2885.449219	-28.420496
2928.515625	-28.937222
2971.582031	-29.017799
3014.648438	-28.860785
3057.714844	-29.215954
3100.781250	-29.987240
3143.847656	-30.835289
3186.914062	-31.288555
3229.980469	-31.646318
3273.046875	-31.450373
3316.113281	-30.950567
3359.179688	-32.827091
3402.246094	-33.231335
3445.312500	-32.966602
3488.378906	-32.050022
3531.445312	-30.598553
3574.511719	-29.082327
3617.578125	-28.415415
3660.644531	-29.230089
3703.710938	-30.649076
3746.777344	-32.821243
3789.843750	-34.251423
3832.910156	-34.147758
3875.976562	-32.250648
3919.042969	-32.007500
3962.109375	-34.640476
4005.175781	-34.855030
4048.242188	-33.425644
4091.308594	-32.751720
4134.375000	-32.900726
4177.441406	-32.670235
4220.507812	-31.182011
4263.574219	-28.661007
4306.640625	-26.328884
4349.707031	-25.001991
4392.773438	-23.751148
4435.839844	-20.355785
4478.906250	-17.130629
4521.972656	-17.549210
4565.039062	-19.058050
4608.105469	-20.158073
4651.171875	-19.808203
4694.238281	-20.399565
4737.304688	-22.414253
4780.371094	-23.766966
4823.437500	-24.738722
4866.503906	-24.387459
4909.570312	-24.294817
4952.636719	-24.913376
4995.703125	-25.169147
5038.769531	-24.873833
5081.835938	-24.974377
5124.902344	-24.378860
5167.968750	-24.691786
5211.035156	-25.030413
5254.101562	-24.695824
5297.167969	-25.874512
5340.234375	-26.670763
5383.300781	-26.822309
5426.367188	-27.148134
5469.433594	-25.720100
5512.500000	-24.790787
5555.566406	-24.916393
5598.632812	-24.726929
5641.699219	-24.415112
5684.765625	-21.472607
5727.832031	-23.346323
5770.898438	-25.253380
5813.964844	-25.864290
5857.031250	-25.955366
5900.097656	-24.522167
5943.164062	-23.833754
5986.230469	-24.357943
6029.296875	-24.427176
6072.363281	-22.291771
6115.429688	-23.278969
6158.496094	-22.451521
6201.562500	-22.502060
6244.628906	-22.894121
6287.695312	-22.277964
6330.761719	-23.051792
6373.828125	-22.495722
6416.894531	-22.340481
6459.960938	-22.383368
6503.027344	-22.284069
6546.093750	-22.336601
6589.160156	-21.508507
6632.226562	-20.818987
6675.292969	-21.018408
6718.359375	-19.859724
6761.425781	-18.170515
6804.492188	-15.035766
6847.558594	-11.967828
6890.625000	-10.226667
6933.691406	-14.030447
6976.757812	-18.911568
7019.824219	-22.273991
7062.890625	-25.426550
7105.957031	-28.325178
7149.023438	-29.847754
7192.089844	-31.355942
7235.156250	-32.216946
7278.222656	-32.159641
7321.289062	-30.416433
7364.355469	-29.437614
7407.421875	-29.032829
7450.488281	-27.871937
7493.554688	-24.545031
7536.621094	-24.421074
7579.687500	-26.040873
7622.753906	-27.001339
7665.820312	-28.106993
7708.886719	-28.967175
7751.953125	-30.279806
7795.019531	-31.363066
7838.085938	-32.146519
7881.152344	-32.587288
7924.218750	-32.339344
7967.285156	-31.896919
8010.351562	-32.828690
8053.417969	-33.224319
8096.484375	-32.939365
8139.550781	-32.398918
8182.617188	-31.990351
8225.683594	-32.486305
8268.750000	-32.973156
8311.816406	-33.115139
8354.882812	-33.482624
8397.949219	-33.496429
8441.015625	-33.698189
8484.082031	-33.666859
8527.148438	-33.238701
8570.214844	-33.437031
8613.281250	-33.626614
8656.347656	-33.697937
8699.414062	-33.419106
8742.480469	-32.917000
8785.546875	-32.368210
8828.613281	-32.864380
8871.679688	-33.619946
8914.746094	-33.496307
8957.812500	-32.814888
9000.878906	-32.282757
9043.945312	-33.096657
9087.011719	-32.937870
9130.078125	-32.776798
9173.144531	-32.474648
9216.210938	-32.529137
9259.277344	-32.804325
9302.343750	-33.521233
9345.410156	-33.257092
9388.476562	-33.621517
9431.542969	-33.584297
9474.609375	-31.032017
9517.675781	-29.344311
9560.742188	-32.569084
9603.808594	-32.654129
9646.875000	-32.364830
9689.941406	-32.406162
9733.007812	-32.282047
9776.074219	-31.624109
9819.140625	-31.316561
9862.207031	-32.070057
9905.273438	-32.908401
9948.339844	-32.892521
9991.406250	-32.310650
10034.472656	-31.848518
10077.539062	-31.795082
10120.605469	-30.641933
10163.671875	-32.416264
10206.738281	-31.900066
10249.804688	-31.165709
10292.871094	-31.305332
10335.937500	-31.055182
10379.003906	-30.096655
10422.070312	-29.657253
10465.136719	-29.205391
10508.203125	-28.776285
10551.269531	-28.977903
10594.335938	-28.367809
10637.402344	-28.901531
10680.468750	-28.886532
10723.535156	-29.572830
10766.601562	-29.585470
10809.667969	-29.453709
10852.734375	-29.877979
10895.800781	-29.672543
10938.867188	-29.861032
10981.933594	-29.603458
11025.000000	-29.255384
11068.066406	-29.470942
11111.132812	-29.148605
11154.199219	-28.892220
11197.265625	-28.234428
11240.332031	-27.788839
11283.398438	-27.781933
11326.464844	-25.534262
11369.531250	-23.555859
11412.597656	-20.787792
11455.664062	-16.933109
11498.730469	-17.251226
11541.796875	-22.089224
11584.863281	-25.963289
11627.929688	-29.246347
11670.996094	-31.935669
11714.062500	-33.715729
11757.128906	-35.014244
11800.195312	-35.880859
11843.261719	-36.709080
11886.328125	-37.600918
11929.394531	-37.662609
11972.460938	-37.661251
12015.527344	-37.597340
12058.593750	-37.899891
12101.660156	-38.596596
12144.726562	-38.925484
12187.792969	-39.392704
12230.859375	-39.507240
12273.925781	-39.393532
12316.992188	-39.635422
12360.058594	-39.711494
12403.125000	-39.428761
12446.191406	-39.581207
12489.257812	-39.941586
12532.324219	-39.874088
12575.390625	-40.188419
12618.457031	-39.781490
12661.523438	-39.399738
12704.589844	-39.796989
12747.656250	-39.833271
12790.722656	-39.768482
12833.789062	-39.645531
12876.855469	-39.214634
12919.921875	-39.554634
12962.988281	-39.878677
13006.054688	-39.900036
13049.121094	-39.787083
13092.187500	-39.515221
13135.253906	-39.651878
13178.320312	-39.895523
13221.386719	-39.508026
13264.453125	-38.675285
13307.519531	-33.017990
13350.585938	-38.494843
13393.652344	-38.596333
13436.718750	-38.026455
13479.785156	-38.019867
13522.851562	-38.270973
13565.917969	-38.642326
13608.984375	-38.682121
13652.050781	-38.237583
13695.117188	-37.993839
13738.183594	-37.362785
13781.250000	-36.966305
13824.316406	-37.775108
13867.382812	-37.730629
13910.449219	-37.887241
13953.515625	-38.190083
13996.582031	-38.233734
14039.648438	-38.332985
14082.714844	-38.005966
14125.781250	-36.644459
14168.847656	-36.914478
14211.914062	-37.797649
14254.980469	-37.669899
14298.046875	-37.746487
14341.113281	-37.797115
14384.179688	-38.040150
14427.246094	-38.313519
14470.312500	-38.346443
14513.378906	-37.860401
14556.445312	-37.612282
14599.511719	-37.664631
14642.578125	-37.713913
14685.644531	-37.513828
14728.710938	-37.105232
14771.777344	-36.776508
14814.843750	-36.901047
14857.910156	-36.882633
14900.976562	-37.093735
14944.042969	-36.854050
14987.109375	-36.648582
15030.175781	-36.783360
15073.242188	-36.314854
15116.308594	-36.497311
15159.375000	-36.323627
15202.441406	-35.798435
15245.507812	-36.627712
15288.574219	-36.285839
15331.640625	-36.429913
15374.707031	-36.095306
15417.773438	-35.898701
15460.839844	-36.847641
15503.906250	-36.505299
15546.972656	-36.160343
15590.039062	-35.578819
15633.105469	-35.575047
15676.171875	-35.940395
15719.238281	-35.400494
15762.304688	-34.987103
15805.371094	-34.482464
15848.437500	-34.117676
15891.503906	-32.823017
15934.570312	-31.018412
15977.636719	-28.711014
16020.703125	-25.156298
16063.769531	-21.966141
16106.835938	-24.301788
16149.902344	-29.319452
16192.968750	-32.660210
16236.035156	-35.578674
16279.101562	-38.305840
16322.167969	-39.883133
16365.234375	-41.004013
16408.300781	-41.884216
16451.367188	-42.413788
16494.433594	-41.959576
16537.500000	-41.025890
16580.566406	-41.738155
16623.632812	-43.212448
16666.699219	-43.862057
16709.765625	-44.124165
16752.832031	-44.351521
16795.898438	-44.507259
16838.964844	-44.628407
16882.031250	-44.521797
16925.097656	-44.250286
16968.164062	-43.891201
